samples,life_style,ecosystem,habitat,mean_si,richness,diversity
mgm4626489,host-associated,human_host-associated,human_feces,0.9050334897982949,1921,0.8545683695384833
mgm4626731,free-living,wastewater,sewage,0.8894411195023647,1926,0.8542610781216742
mgm4626732,free-living,wastewater,sewage,0.7843325096167417,1869,0.85256035525682
mgm4626733,free-living,wastewater,sewage,0.9487035006912745,1911,0.8547840924239701
mgm4627137,free-living,sediment,mangrove_sediment,0.7554392691607489,1828,0.8516082563105232
mgm4628823,free-living,soil,agricultural_soil,0.9669674141619955,1889,0.8544470217239762
mgm4628824,free-living,soil,agricultural_soil,0.9665012995987002,1843,0.8530419583640428
mgm4628825,free-living,soil,agricultural_soil,0.9608546783532502,1907,0.8544063517842371
mgm4628826,free-living,soil,agricultural_soil,0.9604983687437373,1829,0.8510056223154703
mgm4628827,free-living,soil,agricultural_soil,0.9591503587328318,1932,0.8537909276771578
mgm4628828,free-living,soil,agricultural_soil,0.9588310114930754,1845,0.8523260951703691
mgm4628829,free-living,soil,agricultural_soil,0.9466131418199807,1920,0.8541682654243171
mgm4628830,free-living,soil,agricultural_soil,0.7870685427206017,1881,0.853195041316508
mgm4628831,free-living,soil,agricultural_soil,0.810920609339575,1939,0.8540162435154286
mgm4628877,free-living,freshwater,river,0.8607368850964445,1862,0.8535390978983337
mgm4628878,free-living,freshwater,river,0.8909429284528687,1923,0.9118166211619393
mgm4628879,free-living,freshwater,river,0.8389957172078081,1854,0.9119511046852421
mgm4628880,free-living,freshwater,river,0.861656174841822,1936,0.9123994842423179
mgm4628881,free-living,freshwater,river,0.8229802559738904,1813,0.9096940592636448
mgm4629032,host-associated,human_host-associated,human_feces,0.9393323888038764,1967,0.9058835164230813
mgm4629033,host-associated,human_host-associated,human_feces,0.9271209565459433,1914,0.9127947569795719
mgm4629034,host-associated,human_host-associated,human_feces,0.9740977849462417,1939,0.9059208895992915
mgm4629035,host-associated,human_host-associated,human_feces,0.9591065290506815,1865,0.9120062740130034
mgm4629036,host-associated,human_host-associated,human_feces,0.9650095360973966,1959,0.9006546875230428
